Compound,predicted_stable_unstable,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol
TiAuB,unstable,3,5.7,9.167,15.436,141.503,-5.592,0,0.864,PBE,46.307,154.407,5.333,3.85,3,1.851,7.358,4.128,3,1.984,6.628,1.255,16.046,1.421,17.467,2.2,2.11,0.4
TiAuGa,unstable,3,6.09,9.25,18.823,174.111,-5.031,0,0.622,PBE,56.469,119.601,5.333,3.196,3,1.537,7.535,8.274,3,3.978,1.809,1.255,10.279,1.165,11.444,2.908,1.643,0.4
TiAuIn,unstable,3,6.337,9.389,21.202,199.072,-4.786,0,0.424,PBE,63.605,105.515,5.333,2.925,3,1.406,7.593,7.126,3,3.426,1.997,1.255,8.274,1.043,9.318,3.323,1.947,0.4
TiAuTl,unstable,3,6.419,11.28,22.043,248.647,-4.4,0,0.326,PBE,66.13,96.077,5.333,2.888,3,1.389,7.046,6.068,3,2.917,2.314,1.255,5.518,0.897,6.414,4.428,19.956,0.4
TiCoAs,stable,3,5.601,6.869,14.643,100.585,-7.328,0,1.3,PBE,43.929,164.368,5.333,6.119,3,2.942,3.909,9.759,3,4.692,1.941,1.255,25.289,1.723,27.012,1.147,0.867,0.4
TiCoBi,stable,3,6.026,9.586,18.233,174.789,-6.511,0,0.896,PBE,54.7,123.841,5.333,5.518,3,2.653,3.439,7.742,3,3.722,2.07,1.255,10.409,1.177,11.586,2.143,1.749,0.4
TiCoP,other_structure,3,5.44,5.683,13.419,76.26,-7.739,0,1.375,PBE,40.257,185.328,5.333,5.408,3,2.6,5.305,10.337,11,2.09,7.361,1.255,39.22,2.072,41.292,0.911,3.807,0.4
TiCoSb,stable,3,5.881,7.462,16.954,126.511,-6.965,0,1.053,PBE,50.862,143.102,5.333,5.346,3,2.57,4.167,10.583,11,2.14,5.487,1.255,18.538,1.469,20.007,1.461,5.982,0.4
TiCuB,unstable,3,5.3,5.452,12.408,67.653,-5.851,0,0.216,PBE,37.224,159.657,5.333,1.508,3,0.725,31.047,4.091,3,1.967,6.947,1.255,28.132,2.015,30.147,2.313,1.271,0.4
TiCuGa,unstable,3,5.773,6.252,16.036,100.261,-5.015,0,0.065,PBE,48.107,113.889,5.333,1.098,3,0.528,35.651,6.622,3,3.183,2.406,1.255,13.354,1.459,14.812,4.062,1.382,0.4
TiFePo,unstable,3,6.035,9.45,18.316,173.09,-6.488,0,0.69,PBE,54.948,125.729,5.333,0.952,3,0.458,48.752,7.996,11,1.617,7.34,1.255,10.987,1.192,12.179,5.941,10.215,0.4
TiFeS,unstable,3,5.412,5.689,13.21,75.154,-7.408,0,1.101,PBE,39.629,177.363,5.333,1.777,3,0.854,26.948,7.086,8,1.772,9.027,1.255,35.162,2.036,37.198,1.886,3.248,0.4
TiFeSe,unstable,3,5.604,6.893,14.669,101.111,-7.099,0,0.901,PBE,44.007,159.409,5.333,1.23,3,0.591,42.092,6.03,8,1.508,10.334,1.255,23.557,1.693,25.25,3.116,4.737,0.4
TiFeTe,stable,3,5.874,7.58,16.891,128.034,-6.899,0,0.957,PBE,50.674,146.945,5.333,1.952,3,0.939,19.394,6.729,8,1.682,8.081,1.255,19.241,1.479,20.72,2.652,4.983,0.4
TiIrAs,stable,3,5.931,10.027,17.388,174.36,-7.919,0,0.758,PBE,52.165,170.904,5.333,0.984,9,0.227,189.135,4.69,3,2.255,6.057,1.255,19.504,1.373,20.877,21.5,1.809,0.4
TiIrBi,stable,3,6.302,11.916,20.86,248.563,-7.263,0,0.617,PBE,62.581,138.221,5.333,2.723,3,1.309,11.076,4.564,3,2.194,5.104,1.255,11.145,1.066,12.211,3.467,2.543,0.4
TiIrP,unstable,3,5.791,9.273,16.18,150.034,-8.255,0,0.896,PBE,48.541,188.372,5.333,1.344,3,0.646,43.503,4.86,3,2.337,6.329,1.255,25.375,1.536,26.911,3.274,1.514,0.4
TiIrSb,stable,3,6.165,10.259,19.522,200.285,-7.706,0,0.807,PBE,58.566,159.534,5.333,3.139,3,1.509,10.327,4.927,3,2.369,5.251,1.255,17.586,1.262,18.847,2.381,1.816,0.4
TiNiC,unstable,3,5.099,5.94,11.048,65.631,-7.264,0,0.97,PBE,33.144,203.885,5.333,3.714,3,1.786,10.253,2.717,3,1.306,16.385,1.255,40.348,2.268,42.616,1.216,1.467,0.4
TiNiGe,stable,3,5.661,6.563,15.114,99.19,-6.587,0,0.625,PBE,45.343,146.947,5.333,2.661,3,1.279,12.185,5.285,3,2.541,4.354,1.255,21.297,1.649,22.947,1.989,1.318,0.4
TiNiPb,unstable,3,6.042,9.448,18.381,173.67,-5.804,0,0.339,PBE,55.142,110.792,5.333,2.95,3,1.418,7.873,3.865,3,1.858,5.249,1.255,8.321,1.118,9.439,3.427,2.914,0.4
TiNiSi,other_structure,3,5.568,5.18,14.386,74.528,-6.971,0,0.743,PBE,43.159,159.361,5.333,2.49,3,1.197,14.6,7.874,3,3.785,2.597,1.255,32.9,1.966,34.866,1.477,0.74,0.4
TiNiSn,stable,3,5.942,7.133,17.482,124.69,-6.212,0,0.442,PBE,52.446,125.264,5.333,2.688,3,1.292,10.23,5.026,3,2.416,4.002,1.255,14.879,1.391,16.271,2.376,1.632,0.4
TiOsTe,unstable,3,6.163,10.376,19.509,202.418,-7.715,0,0.478,PBE,58.527,161.82,5.333,0.27,3,0.13,415.51,6.4,3,3.077,3.598,1.255,17.894,1.264,19.158,10.355,1.549,0.4
TiPtC,unstable,3,5.553,9.893,14.266,141.125,-7.202,0,0.418,PBE,42.797,181.595,5.333,0.225,3,0.108,611.196,2.395,2,1.509,11.756,1.255,19.885,1.523,21.407,11.588,1.591,0.4
TiPtGe,stable,3,5.983,9.788,17.846,174.684,-6.978,0,0.845,PBE,53.539,154.395,5.333,4.282,3,2.058,6.274,4.539,3,2.182,5.748,1.255,16.314,1.31,17.623,2.045,1.975,0.4
